{'seed': '13-13', 'learning_rate': 0.01, 'dev_result': 0.5, 'test_result': 0.34090677534386143}
{'seed': '21-21', 'learning_rate': 0.01, 'dev_result': 0.5, 'test_result': 0.3485481406011207}
{'seed': '42-42', 'learning_rate': 0.01, 'dev_result': 0.4583333333333333, 'test_result': 0.3436576668364748}
{'seed': '87-87', 'learning_rate': 0.01, 'dev_result': 0.4166666666666667, 'test_result': 0.3487519103413143}
{'seed': '100-100', 'learning_rate': 0.01, 'dev_result': 0.4166666666666667, 'test_result': 0.32358634742740705}
{'seed': '13-13', 'learning_rate': 0.003, 'dev_result': 0.3958333333333333, 'test_result': 0.367396841569027}
{'seed': '21-21', 'learning_rate': 0.003, 'dev_result': 0.4583333333333333, 'test_result': 0.37157412124299544}
{'seed': '42-42', 'learning_rate': 0.003, 'dev_result': 0.3958333333333333, 'test_result': 0.3574121242995415}
{'seed': '87-87', 'learning_rate': 0.003, 'dev_result': 0.3958333333333333, 'test_result': 0.3543555781966378}
{'seed': '100-100', 'learning_rate': 0.003, 'dev_result': 0.5, 'test_result': 0.3477330616403464}
{'seed': '13-13', 'learning_rate': 0.001, 'dev_result': 0.375, 'test_result': 0.33010697911360165}
{'seed': '21-21', 'learning_rate': 0.001, 'dev_result': 0.4583333333333333, 'test_result': 0.3560876209882832}
{'seed': '42-42', 'learning_rate': 0.001, 'dev_result': 0.4166666666666667, 'test_result': 0.33224656138563424}
{'seed': '87-87', 'learning_rate': 0.001, 'dev_result': 0.4583333333333333, 'test_result': 0.3710646968925115}
{'seed': '100-100', 'learning_rate': 0.001, 'dev_result': 0.5416666666666666, 'test_result': 0.3540499235863474}
{'seed': '13-13', 'learning_rate': 0.0003, 'dev_result': 0.3125, 'test_result': 0.358634742740703}
{'seed': '21-21', 'learning_rate': 0.0003, 'dev_result': 0.5, 'test_result': 0.3639327559857361}
{'seed': '42-42', 'learning_rate': 0.0003, 'dev_result': 0.3958333333333333, 'test_result': 0.33662761079979625}
{'seed': '87-87', 'learning_rate': 0.0003, 'dev_result': 0.3541666666666667, 'test_result': 0.3437595517065716}
{'seed': '100-100', 'learning_rate': 0.0003, 'dev_result': 0.5, 'test_result': 0.34314824248599085}
{'best_lr': 0.003, 'best_results': 0.3596943453897097}
