{'seed': '13-13', 'learning_rate': 0.001, 'dev_result': 0.7083333333333334, 'test_result': 0.6714212939378502}
{'seed': '21-21', 'learning_rate': 0.001, 'dev_result': 0.625, 'test_result': 0.6889454915944982}
{'seed': '42-42', 'learning_rate': 0.001, 'dev_result': 0.5833333333333334, 'test_result': 0.6124299541518085}
{'seed': '87-87', 'learning_rate': 0.001, 'dev_result': 0.7916666666666666, 'test_result': 0.74253693326541}
{'seed': '100-100', 'learning_rate': 0.001, 'dev_result': 0.6875, 'test_result': 0.7098318899643403}
{'seed': '13-13', 'learning_rate': 0.0003, 'dev_result': 0.7291666666666666, 'test_result': 0.6902699949057565}
{'seed': '21-21', 'learning_rate': 0.0003, 'dev_result': 0.75, 'test_result': 0.6912888436067244}
{'seed': '42-42', 'learning_rate': 0.0003, 'dev_result': 0.6875, 'test_result': 0.6634742740703006}
{'seed': '87-87', 'learning_rate': 0.0003, 'dev_result': 0.7083333333333334, 'test_result': 0.705145185939888}
{'seed': '100-100', 'learning_rate': 0.0003, 'dev_result': 0.5833333333333334, 'test_result': 0.6688741721854304}
{'seed': '13-13', 'learning_rate': 0.0001, 'dev_result': 0.75, 'test_result': 0.6701986754966888}
{'seed': '21-21', 'learning_rate': 0.0001, 'dev_result': 0.6875, 'test_result': 0.6644931227712685}
{'seed': '42-42', 'learning_rate': 0.0001, 'dev_result': 0.7083333333333334, 'test_result': 0.6465613856342333}
{'seed': '87-87', 'learning_rate': 0.0001, 'dev_result': 0.6875, 'test_result': 0.6957717778909832}
{'seed': '100-100', 'learning_rate': 0.0001, 'dev_result': 0.7083333333333334, 'test_result': 0.679775853285787}
{'seed': '13-13', 'learning_rate': 3e-05, 'dev_result': 0.7708333333333334, 'test_result': 0.6654100866021396}
{'seed': '21-21', 'learning_rate': 3e-05, 'dev_result': 0.6875, 'test_result': 0.6798777381558838}
{'seed': '42-42', 'learning_rate': 3e-05, 'dev_result': 0.6875, 'test_result': 0.6410596026490066}
{'seed': '87-87', 'learning_rate': 3e-05, 'dev_result': 0.6666666666666666, 'test_result': 0.6817116658176261}
{'seed': '100-100', 'learning_rate': 3e-05, 'dev_result': 0.6666666666666666, 'test_result': 0.6751910341314314}
{'best_lr': 0.001, 'best_results': 0.6850331125827814}
