{'seed': '13-13', 'learning_rate': 0.001, 'dev_result': 0.6875, 'test_result': 0.6330106979113601}
{'seed': '21-21', 'learning_rate': 0.001, 'dev_result': 0.3333333333333333, 'test_result': 0.31818644931227713}
{'seed': '42-42', 'learning_rate': 0.001, 'dev_result': 0.6666666666666666, 'test_result': 0.6255731023942944}
{'seed': '87-87', 'learning_rate': 0.001, 'dev_result': 0.3333333333333333, 'test_result': 0.3273560876209883}
{'seed': '100-100', 'learning_rate': 0.001, 'dev_result': 0.6458333333333334, 'test_result': 0.6986245542536933}
{'seed': '13-13', 'learning_rate': 0.0003, 'dev_result': 0.75, 'test_result': 0.6963830871115639}
{'seed': '21-21', 'learning_rate': 0.0003, 'dev_result': 0.6458333333333334, 'test_result': 0.691492613346918}
{'seed': '42-42', 'learning_rate': 0.0003, 'dev_result': 0.6458333333333334, 'test_result': 0.6488028527763627}
{'seed': '87-87', 'learning_rate': 0.0003, 'dev_result': 0.7083333333333334, 'test_result': 0.6877228731533367}
{'seed': '100-100', 'learning_rate': 0.0003, 'dev_result': 0.7083333333333334, 'test_result': 0.6740703005603668}
{'seed': '13-13', 'learning_rate': 0.0001, 'dev_result': 0.75, 'test_result': 0.6383087111563933}
{'seed': '21-21', 'learning_rate': 0.0001, 'dev_result': 0.6875, 'test_result': 0.671013754457463}
{'seed': '42-42', 'learning_rate': 0.0001, 'dev_result': 0.6875, 'test_result': 0.6547121752419766}
{'seed': '87-87', 'learning_rate': 0.0001, 'dev_result': 0.625, 'test_result': 0.6804890473764645}
{'seed': '100-100', 'learning_rate': 0.0001, 'dev_result': 0.75, 'test_result': 0.6814060112073357}
{'seed': '13-13', 'learning_rate': 3e-05, 'dev_result': 0.7708333333333334, 'test_result': 0.6552215995924605}
{'seed': '21-21', 'learning_rate': 3e-05, 'dev_result': 0.625, 'test_result': 0.612124299541518}
{'seed': '42-42', 'learning_rate': 3e-05, 'dev_result': 0.6458333333333334, 'test_result': 0.6269994905756495}
{'seed': '87-87', 'learning_rate': 3e-05, 'dev_result': 0.6458333333333334, 'test_result': 0.6668364747834946}
{'seed': '100-100', 'learning_rate': 3e-05, 'dev_result': 0.6875, 'test_result': 0.67396841569027}
{'best_lr': 0.0003, 'best_results': 0.6796943453897096}
